+-----------+--------------+-------+-----------+------------------+---------------+---------------+
| problemid | type         | level | algorithm | source           | free_solution | free_testdata |
+-----------+--------------+-------+-----------+------------------+---------------+---------------+
| 3NPLUS1   | algotraining |     1 |         1 | UVA              |             0 |             0 |
| ABVEAVG   | algotraining |     1 |         1 | UVA              |             0 |             0 |
| GAMES     | algotraining |     1 |         1 | Codeforces       |             0 |             0 |
| COMPOTE   | algotraining |     1 |         2 | Codeforces       |             0 |             0 |
| THEASQR   | algotraining |     1 |         2 | Codeforces       |             0 |             0 |
| YNUMSEQ   | algotraining |     1 |         2 | UVA              |             0 |             0 |
| ECOBIN    | algotraining |     1 |         3 | UVA              |             0 |             0 |
| GRIDGME   | algotraining |     1 |         3 | UVA              |             0 |             0 |
| YOKOF     | algotraining |     2 |         3 | SPOJ             |             0 |             0 |
| CBUYING   | algotraining |     1 |         4 | VNSPOJ           |             0 |             0 |
| MJURNEY   | algotraining |     1 |         4 | VNSPOJ           |             0 |             0 |
| NOIXICH   | algotraining |     1 |         4 | VNSPOJ           |             0 |             0 |
| MINK      | algotraining |     1 |         5 | VNSPOJ           |             0 |             0 |
| QBRECT    | algotraining |     1 |         5 | VNSPOJ           |             0 |             0 |
| C11PAIR   | algotraining |     2 |         5 | VNSPOJ           |             0 |             0 |
| BIGNUM    | algotraining |     1 |         6 | VNSPOJ           |             0 |             0 |
| HELPBRO   | algotraining |     1 |         6 | UVA              |             0 |             0 |
| PBCDEM    | algotraining |     1 |         6 | VNSPOJ           |             0 |             0 |
| CHOCO     | algotraining |     1 |         7 | Codeforces       |             0 |             0 |
| KOLYA     | algotraining |     1 |         7 | Codeforces       |             0 |             0 |
| PASHA     | algotraining |     1 |         7 | Codeforces       |             0 |             0 |
| FEDYA     | algotraining |     1 |         8 | Codeforces       |             0 |             0 |
| LCMCHAL   | algotraining |     1 |         8 | Codeforces       |             0 |             0 |
| TOYARMY   | algotraining |     1 |         8 | Codeforces       |             0 |             0 |
| LIS       | algotraining |     1 |         9 | VNSPOJ           |             0 |             0 |
| MTWALK    | algotraining |     1 |         9 | VNSPOJ           |             0 |             0 |
| NNOD      | algotraining |     1 |         9 | UVA              |             0 |             0 |
| ENEWEAK   | algotraining |     1 |        10 | Codeforces       |             0 |             0 |
| TREECON   | algotraining |     1 |        10 | Codeforces       |             0 |             0 |
| LORENZO   | algotraining |     2 |        10 | Codeforces       |             0 |             0 |
| DARTHVA   | algotraining |     2 |        11 | Codeforces       |             0 |             0 |
| ONCEAGA   | algotraining |     2 |        11 | Codeforces       |             0 |             0 |
| AXELMAR   | algotraining |     3 |        11 | Codeforces       |             0 |             0 |
| COWGIRL   | algotraining |     1 |        12 | VNSPOJ           |             0 |             0 |
| CTNBULL   | algotraining |     1 |        12 | VNSPOJ           |             0 |             0 |
